Lat,Lon,cluster
40.7484,-74.0016,3
40.769,-73.9812,3
40.7675,-73.9562,3
40.7256,-73.9999,0
40.7706,-73.9565,3
40.7438,-73.988,3
40.7075,-73.8027,4
40.7642,-73.979,3
40.7732,-73.8855,1
40.7221,-73.9854,0
40.6865,-73.9644,0
40.742,-74.0038,0
40.7204,-73.9921,0
40.7741,-73.8723,1
40.7273,-74.0055,0
40.7167,-74.0021,0
40.7762,-73.9632,3
40.7399,-73.9933,0
40.7053,-74.009,0
40.7337,-74.0063,0
40.7531,-74.0038,3
40.7203,-74.0053,0
40.7479,-73.9849,3
40.7104,-73.9661,0
40.7576,-73.9848,3
40.7732,-73.8855,1
40.7741,-73.8726,1
40.7403,-74.0081,0
40.6947,-74.1777,2
40.6215,-74.0387,0
40.7304,-73.9934,0
40.7178,-73.9852,0
40.7312,-73.9511,3
40.7582,-73.9774,3
40.7619,-73.9597,3
40.7741,-73.8727,1
40.6437,-73.9914,0
40.7596,-73.9869,3
40.7501,-73.9721,3
40.7492,-73.9941,3
40.725,-73.9982,0
40.7274,-73.9939,0
40.6849,-73.8736,4
40.7615,-73.9797,3
40.731,-73.9913,0
40.7464,-73.9313,3
40.7289,-74.0014,0
40.7686,-73.9821,3
40.6882,-74.1803,2
40.7604,-74.0027,3
40.7901,-73.9773,3
40.6466,-73.7899,4
40.7583,-73.9752,3
40.7402,-73.9994,0
40.751,-73.9804,3
40.6733,-73.9948,0
40.7328,-74.004,0
40.7587,-73.9611,3
40.713,-73.9864,0
40.7201,-74.0087,0
40.7535,-73.9849,3
40.7783,-73.9852,3
40.7529,-73.9659,3
40.7238,-73.9964,0
40.716,-74.0087,0
40.7452,-73.9145,1
40.7174,-74.0053,0
40.7729,-73.9784,3
40.7556,-73.9874,3
40.7479,-74.0045,0
40.6309,-73.935,0
40.7603,-73.975,3
40.7348,-74.0001,0
40.7453,-73.9926,3
40.7645,-73.9835,3
40.8387,-73.8765,1
40.7687,-73.9677,3
40.7706,-73.9567,3
40.7048,-73.9488,0
40.7854,-73.9816,3
40.7303,-73.9926,0
40.8113,-73.944,3
40.7477,-73.9405,3
40.7371,-74.0025,0
40.7377,-73.9885,0
40.7522,-73.9779,3
40.7754,-73.9904,3
40.7594,-73.9811,3
40.731,-73.9952,0
40.7616,-73.9745,3
40.7965,-73.9716,3
40.7303,-73.9841,0
40.6416,-73.7887,4
40.7589,-73.9938,3
40.7558,-73.9859,3
40.7033,-73.9941,0
40.7749,-73.9909,3
40.7271,-73.9804,0
40.7485,-73.9885,3
40.6893,-73.975,0
40.6592,-73.954,0
40.645,-73.7818,4
40.7064,-73.8363,4
40.7487,-74.0082,0
40.6689,-73.9798,0
40.7359,-73.9795,0
40.779,-73.9534,3
40.7452,-73.9873,3
40.7129,-73.9551,0
40.7278,-74.0017,0
40.7074,-74.0137,0
40.7687,-73.9879,3
40.7226,-73.9828,0
40.634,-73.955,0
40.7906,-73.9778,3
40.7514,-73.9804,3
40.7195,-74.0088,0
40.744,-73.9837,3
40.8601,-73.9265,1
40.7237,-74.008,0
40.7289,-73.9981,0
40.746,-73.9725,3
40.7277,-73.9892,0
40.7621,-73.9856,3
40.7609,-73.9671,3
40.7507,-74.0035,3
40.6871,-73.9623,0
40.7581,-73.9724,3
40.7505,-73.991,3
40.646,-73.7767,4
40.7432,-74.0025,0
40.7369,-73.9781,0
40.7478,-73.9748,3
40.7605,-73.9802,3
40.7382,-74.0024,0
40.7823,-73.9826,3
40.724,-74.0024,0
40.7608,-73.9715,3
40.7697,-73.9627,3
40.7372,-73.9986,0
40.7251,-73.989,0
40.7234,-74.003,0
40.7255,-74.0004,0
40.7389,-73.9892,0
40.7393,-73.9936,0
40.7339,-73.9966,0
40.7748,-73.991,3
40.7449,-73.9949,0
40.7696,-73.9691,3
40.7309,-73.9913,0
40.7335,-74.008,0
40.776,-73.9441,3
40.6692,-73.9764,0
40.7163,-74.0077,0
40.7732,-73.8858,1
40.7274,-73.9922,0
40.7746,-73.964,3
40.7205,-74.0438,0
40.7694,-73.983,3
40.7251,-73.9948,0
40.748,-74.004,0
40.7771,-73.9519,3
40.7592,-73.9767,3
40.706,-74.0088,0
40.6463,-73.777,4
40.7207,-73.9941,0
40.7472,-73.9856,3
40.7469,-73.9964,3
40.7652,-73.9754,3
40.7567,-74.0013,3
40.7709,-73.9552,3
40.7439,-74.0066,0
40.7201,-74.0086,0
40.7868,-73.9812,3
40.7737,-73.95,3
40.7417,-74.0069,0
40.727,-73.9858,0
40.7627,-73.9823,3
40.7777,-73.975,3
40.7497,-73.974,3
40.762,-73.9789,3
40.7044,-74.0116,0
40.7612,-73.9728,3
40.6443,-73.782,4
