Lat,Lon,rides
40.6449,-73.7822,418
40.6449,-73.7821,380
40.6449,-73.7823,374
40.645,-73.7819,373
40.645,-73.782,319
40.7685,-73.8625,283
40.7741,-73.8725,239
40.7741,-73.8726,228
40.6449,-73.7824,201
40.774,-73.8726,196
40.645,-73.7818,195
40.6459,-73.7768,179
40.771,-73.866,173
40.6448,-73.7825,171
40.7684,-73.8624,168
40.7709,-73.8659,167
40.6458,-73.7768,166
40.7686,-73.8626,164
40.7683,-73.8622,155
40.7741,-73.8727,151
40.6457,-73.7768,147
40.7405,-74.0057,146
40.7684,-73.8623,144
40.7741,-73.8724,143
40.7514,-73.994,139
40.6449,-73.782,139
40.774,-73.8727,137
40.646,-73.7768,134
40.6483,-73.7827,132
40.742,-74.0037,131
40.7732,-73.8856,128
40.7708,-73.8657,127
40.742,-74.0038,126
40.7261,-73.9918,121
40.7685,-73.8624,120
40.7406,-74.0057,119
40.774,-73.8725,118
40.7686,-73.8627,117
40.7236,-74.0108,117
40.7709,-73.8658,117
40.6449,-73.7819,116
40.7408,-74.0076,115
40.774,-73.8724,114
40.6466,-73.7897,112
40.7406,-74.0056,110
40.7731,-73.8856,109
40.7236,-74.0109,109
40.6483,-73.7826,106
40.7685,-73.8626,106
40.7731,-73.8855,104
40.7732,-73.8855,103
40.7409,-74.0075,102
40.7103,-73.9846,101
40.7219,-74.0042,101
40.6458,-73.7767,101
40.7246,-73.9986,101
40.7679,-73.9916,100
40.7741,-73.8723,100
40.7739,-73.8726,100
40.6448,-73.7824,99
40.7748,-73.991,98
40.7388,-74.0088,97
40.7262,-73.9918,96
40.7323,-74.0077,95
40.7385,-73.9855,95
40.6457,-73.7767,95
40.7513,-73.9941,93
40.745,-73.9888,93
40.6465,-73.7898,92
40.722,-74.0041,92
40.7739,-73.8716,92
40.7199,-74.0003,90
40.7218,-73.958,88
40.7233,-73.9912,88
40.7682,-73.8621,88
40.774,-73.8717,87
40.7512,-74.0067,87
40.6448,-73.7823,86
40.7739,-73.8715,86
40.7439,-74.0064,86
40.7513,-74.0068,86
40.6448,-73.7826,85
40.7256,-74.0055,85
40.7512,-74.0066,85
40.726,-73.9918,85
40.7683,-73.8623,85
40.7404,-74.0079,84
40.7405,-74.0078,84
40.7708,-73.8658,84
40.7707,-73.8656,83
40.7711,-73.8661,82
40.7739,-73.8725,82
40.7231,-73.9976,81
40.7678,-73.9915,80
40.645,-73.7821,80
40.6459,-73.7767,79
40.7741,-73.8722,78
40.7407,-74.0056,78
40.6466,-73.7896,78
40.7322,-74.0077,77
40.7256,-74.0056,77
40.6949,-74.1781,77
40.774,-73.8719,76
40.7515,-73.994,76
40.7403,-74.0059,76
40.6462,-73.7769,76
40.7504,-73.9947,75
40.7219,-74.0041,75
40.7406,-74.0077,75
40.774,-73.8716,74
40.7233,-73.9913,74
40.774,-73.8723,74
40.7438,-74.0063,73
40.771,-73.8661,73
40.743,-74.0076,73
40.742,-74.0046,73
40.6461,-73.7768,73
40.7421,-74.0039,73
40.7561,-73.9832,72
40.7246,-73.9916,71
40.7388,-74.0087,71
40.6465,-73.7899,71
40.7028,-73.9907,71
40.7699,-73.8644,71
40.7169,-74.0123,71
40.7515,-73.9939,70
40.7517,-73.9938,70
40.7423,-74.0044,70
40.6417,-73.7888,69
40.7502,-73.9946,69
40.6948,-74.1779,69
40.7691,-73.9812,68
40.6456,-73.7768,67
40.7305,-74.0068,67
40.7449,-73.9888,66
40.774,-73.8722,66
40.7247,-73.9985,65
40.7402,-74.0059,65
40.769,-73.9812,65
40.7404,-74.0058,65
40.7421,-74.004,64
40.7376,-74.0082,64
40.7407,-74.0077,64
40.7501,-73.9834,64
40.7459,-73.9882,64
40.7752,-73.9635,63
40.7174,-74.016,63
40.7256,-74.0054,63
40.7384,-73.9855,63
40.6951,-74.1784,63
40.7141,-74.0146,63
40.774,-73.8718,62
40.7646,-73.9707,62
40.771,-73.8659,62
40.7696,-73.9808,62
40.7401,-74.006,62
40.7205,-73.9872,61
40.756,-73.9727,61
40.6947,-74.1778,61
40.7325,-73.9969,61
40.7424,-74.0043,60
40.7232,-73.9913,60
40.7503,-73.9948,60
40.6467,-73.7895,59
40.7438,-74.0062,58
40.7309,-73.9913,58
40.7249,-74.0077,58
40.7203,-74.0022,58
40.7739,-73.8724,58
40.7419,-74.0036,58
40.695,-74.1782,58
40.7732,-73.8857,57
40.7505,-73.9946,57
40.7406,-74.0078,57
40.7306,-74.009,57
40.7442,-74.0067,57
40.6878,-74.1817,57
40.7218,-74.0042,57
40.7747,-73.9911,57
40.7309,-73.9954,56
40.7711,-73.8662,56
40.7497,-73.9916,56
40.7644,-73.9958,56
40.7422,-74.0042,56
40.7499,-73.9835,56
40.7647,-73.9706,56
40.7386,-73.9854,55
40.695,-74.1783,55
40.6485,-73.7827,55
40.7506,-73.9946,55
40.7273,-73.992,55
